Departure_AirportCode,Departure_ScheduledTimeLocal_DateTime,Departure_ScheduledTimeUTC_DateTime,Departure_ActualTimeLocal_DateTime,Departure_ActualTimeUTC_DateTime,Departure_TimeStatus_Code,Departure_TimeStatus_Definition,Departure_Terminal_Name,Departure_Terminal_Gate,Arrival_AirportCode,Arrival_ScheduledTimeLocal_DateTime,Arrival_ScheduledTimeUTC_DateTime,Arrival_ActualTimeLocal_DateTime,Arrival_ActualTimeUTC_DateTime,Arrival_TimeStatus_Code,Arrival_TimeStatus_Definition,Arrival_Terminal_Name,MarketingCarrier_AirlineID,MarketingCarrier_FlightNumber,OperatingCarrier_AirlineID,OperatingCarrier_FlightNumber,Equipment_AircraftCode,Equipment_AircraftRegistration,FlightStatus_Code,FlightStatus_Definition,ServiceType,Arrival_Terminal_Gate,Arrival_EstimatedTimeLocal_DateTime,Arrival_EstimatedTimeUTC_DateTime,Departure_EstimatedTimeLocal_DateTime,Departure_EstimatedTimeUTC_DateTime
FRA,2024-09-24T04:45,2024-09-24T02:45Z,2024-09-24T04:45,2024-09-24T02:45Z,OT,Flight On Time,1,B48,AYT,2024-09-24T09:05,2024-09-24T06:05Z,2024-09-24T09:10,2024-09-24T06:10Z,OT,Flight On Time,2,DE,142,DE,142,32Q,DANMX,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T04:45,2024-09-24T02:45Z,2024-09-24T04:45,2024-09-24T02:45Z,OT,Flight On Time,1,A17,PMI,2024-09-24T06:55,2024-09-24T04:55Z,2024-09-24T06:56,2024-09-24T04:56Z,OT,Flight On Time,,DE,1502,DE,1502,32B,DATCC,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T04:50,2024-09-24T02:50Z,2024-09-24T04:44,2024-09-24T02:44Z,FE,Flight Early,1,A13,CFU,2024-09-24T08:05,2024-09-24T05:05Z,2024-09-24T08:10,2024-09-24T05:10Z,OT,Flight On Time,,4Y,1210,4Y,1210,32A,DAIUS,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T04:50,2024-09-24T02:50Z,2024-09-24T04:50,2024-09-24T02:50Z,OT,Flight On Time,1,A01,SUF,2024-09-24T07:10,2024-09-24T05:10Z,2024-09-24T07:13,2024-09-24T05:13Z,OT,Flight On Time,,DE,1816,DE,1816,320,DAICI,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T05:00,2024-09-24T03:00Z,2024-09-24T04:56,2024-09-24T02:56Z,FE,Flight Early,1,A14,BOJ,2024-09-24T08:35,2024-09-24T05:35Z,2024-09-24T08:31,2024-09-24T05:31Z,FE,Flight Early,,4Y,1400,4Y,1400,32A,DAIUR,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T05:00,2024-09-24T03:00Z,2024-09-24T04:56,2024-09-24T02:56Z,FE,Flight Early,1,A22,VAR,2024-09-24T08:30,2024-09-24T05:30Z,2024-09-24T08:27,2024-09-24T05:27Z,FE,Flight Early,,4Y,1610,4Y,1610,32A,DAIUX,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T05:00,2024-09-24T03:00Z,2024-09-24T05:00,2024-09-24T03:00Z,OT,Flight On Time,1,A20,XRY,2024-09-24T08:00,2024-09-24T06:00Z,2024-09-24T07:57,2024-09-24T05:57Z,FE,Flight Early,,DE,1552,DE,1552,320,LZFBI,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T05:00,2024-09-24T03:00Z,2024-09-24T05:00,2024-09-24T03:00Z,OT,Flight On Time,1,B19,PMI,2024-09-24T07:05,2024-09-24T05:05Z,2024-09-24T07:12,2024-09-24T05:12Z,OT,Flight On Time,,DE,1772,DE,1772,75T,DABOL,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T05:30,2024-09-24T03:30Z,2024-09-24T05:55,2024-09-24T03:55Z,DL,Flight Delayed,1,A19,RHO,2024-09-24T09:35,2024-09-24T06:35Z,2024-09-24T10:07,2024-09-24T07:07Z,DL,Flight Delayed,,DE,1594,DE,1594,75T,DABOH,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T05:55,2024-09-24T03:55Z,2024-09-24T06:29,2024-09-24T04:29Z,DL,Flight Delayed,1,B03,HER,2024-09-24T09:55,2024-09-24T06:55Z,2024-09-24T10:36,2024-09-24T07:36Z,DL,Flight Delayed,,4Y,1204,4Y,1204,32A,DAIUZ,LD,Flight Landed,Passenger,,,,,
