Departure_ScheduledTimeUTC_DateTime,Departure_TimeStatus_Code,Arrival_AirportCode,Arrival_ScheduledTimeUTC_DateTime,Arrival_ActualTimeUTC_DateTime,Arrival_TimeStatus_Code
2024-08-06T02:45Z,DL,AYT,2024-08-06T06:10Z,2024-08-06T08:22Z,DL
2024-08-06T02:45Z,DL,AYT,2024-08-06T06:05Z,2024-08-06T06:44Z,DL
2024-08-06T02:45Z,DL,PMI,2024-08-06T04:55Z,2024-08-06T05:20Z,DL
2024-08-06T02:50Z,DL,CFU,2024-08-06T05:05Z,2024-08-06T07:49Z,DL
2024-08-06T02:50Z,DL,SUF,2024-08-06T05:10Z,2024-08-06T06:19Z,DL
2024-08-06T03:00Z,DL,BOJ,2024-08-06T05:35Z,2024-08-06T09:03Z,DL
2024-08-06T03:00Z,DL,VAR,2024-08-06T05:30Z,2024-08-06T07:13Z,DL
2024-08-06T03:00Z,DL,XRY,2024-08-06T06:00Z,2024-08-06T06:56Z,DL
2024-08-06T03:00Z,DL,PMI,2024-08-06T05:05Z,2024-08-06T05:43Z,DL
2024-08-06T03:30Z,OT,RHO,2024-08-06T06:25Z,2024-08-06T06:35Z,OT
2024-08-06T03:55Z,DL,HER,2024-08-06T06:55Z,2024-08-06T07:37Z,DL
2024-08-06T04:15Z,FE,BER,2024-08-06T05:25Z,2024-08-06T05:03Z,FE
2024-08-06T04:15Z,DL,ADA,2024-08-06T07:55Z,2024-08-06T08:20Z,DL
2024-08-06T04:40Z,OT,FAO,2024-08-06T07:55Z,2024-08-06T08:00Z,OT
2024-08-06T04:40Z,OT,ZRH,2024-08-06T05:35Z,2024-08-06T05:33Z,FE
2024-08-06T04:40Z,FE,VIE,2024-08-06T06:05Z,2024-08-06T05:55Z,FE
2024-08-06T04:45Z,FE,BER,2024-08-06T05:55Z,2024-08-06T05:38Z,FE
2024-08-06T04:45Z,OT,CTA,2024-08-06T07:10Z,2024-08-06T07:13Z,OT
2024-08-06T04:45Z,OT,BRE,2024-08-06T05:40Z,2024-08-06T05:42Z,OT
2024-08-06T04:50Z,OT,LCY,2024-08-06T06:15Z,2024-08-06T06:18Z,OT
2024-08-06T04:55Z,DL,PMI,2024-08-06T07:05Z,2024-08-06T07:45Z,DL
2024-08-06T04:55Z,OT,BRU,2024-08-06T05:55Z,2024-08-06T05:51Z,FE
2024-08-06T05:00Z,OT,STR,2024-08-06T05:40Z,2024-08-06T05:48Z,OT
2024-08-06T05:00Z,OT,ARN,2024-08-06T07:05Z,2024-08-06T06:59Z,FE
2024-08-06T05:00Z,DL,OSL,2024-08-06T07:00Z,2024-08-06T07:10Z,DL
2024-08-06T05:00Z,OT,LHR,2024-08-06T06:40Z,2024-08-06T06:42Z,OT
2024-08-06T05:00Z,FE,BSL,2024-08-06T05:50Z,2024-08-06T05:48Z,FE
2024-08-06T05:05Z,OT,HAJ,2024-08-06T05:55Z,2024-08-06T05:49Z,FE
2024-08-06T05:05Z,OT,DUS,2024-08-06T05:55Z,2024-08-06T05:52Z,FE
2024-08-06T05:05Z,DL,LUX,2024-08-06T05:50Z,2024-08-06T06:39Z,DL
2024-08-06T05:05Z,OT,DUB,2024-08-06T07:15Z,2024-08-06T07:08Z,FE
2024-08-06T05:10Z,FE,MXP,2024-08-06T06:25Z,2024-08-06T06:17Z,FE
2024-08-06T05:10Z,OT,BUD,2024-08-06T06:45Z,2024-08-06T06:48Z,OT
2024-08-06T05:15Z,OT,MUC,2024-08-06T06:10Z,2024-08-06T06:02Z,FE
2024-08-06T05:15Z,OT,LEJ,2024-08-06T06:10Z,2024-08-06T06:02Z,FE
2024-08-06T05:20Z,OT,CPH,2024-08-06T06:45Z,2024-08-06T06:45Z,OT
2024-08-06T05:20Z,OT,WAW,2024-08-06T06:55Z,2024-08-06T07:01Z,OT
2024-08-06T05:20Z,OT,WAW,2024-08-06T07:00Z,2024-08-06T07:00Z,OT
2024-08-06T05:30Z,OT,HAM,2024-08-06T06:35Z,2024-08-06T06:44Z,OT
2024-08-06T05:30Z,OT,FCO,2024-08-06T07:20Z,2024-08-06T07:29Z,OT
2024-08-06T05:30Z,OT,GVA,2024-08-06T06:35Z,2024-08-06T06:32Z,FE
2024-08-06T05:35Z,FE,MAN,2024-08-06T07:20Z,2024-08-06T07:11Z,FE
2024-08-06T05:35Z,OT,BCN,2024-08-06T07:40Z,2024-08-06T07:31Z,FE
2024-08-06T05:40Z,OT,TLS,2024-08-06T07:25Z,2024-08-06T07:19Z,FE
2024-08-06T05:45Z,OT,BER,2024-08-06T06:55Z,2024-08-06T06:42Z,FE
2024-08-06T05:50Z,OT,AMS,2024-08-06T07:00Z,2024-08-06T07:09Z,OT
2024-08-06T05:50Z,OT,ZRH,2024-08-06T06:45Z,2024-08-06T06:43Z,FE
2024-08-06T05:55Z,OT,BHX,2024-08-06T07:30Z,2024-08-06T07:24Z,FE
2024-08-06T06:00Z,FE,HAM,2024-08-06T07:05Z,2024-08-06T06:57Z,FE
2024-08-06T06:00Z,OT,BOD,2024-08-06T07:45Z,2024-08-06T07:46Z,OT
2024-08-06T06:00Z,OT,LHR,2024-08-06T07:40Z,2024-08-06T07:46Z,OT
2024-08-06T06:00Z,DL,AYT,2024-08-06T09:30Z,2024-08-06T10:05Z,DL
2024-08-06T03:00Z,DL,BOJ,2024-08-06T05:35Z,2024-08-06T09:03Z,DL
2024-08-06T05:05Z,DL,LUX,2024-08-06T05:50Z,2024-08-06T06:39Z,DL
2024-08-06T05:50Z,OT,AMS,2024-08-06T07:00Z,2024-08-06T07:09Z,OT
2024-08-06T06:00Z,FE,HAM,2024-08-06T07:05Z,2024-08-06T06:57Z,FE
2024-08-06T06:00Z,OT,BOD,2024-08-06T07:45Z,2024-08-06T07:46Z,OT
2024-08-06T06:00Z,OT,LHR,2024-08-06T07:40Z,2024-08-06T07:46Z,OT
2024-08-06T06:00Z,DL,AYT,2024-08-06T09:30Z,2024-08-06T10:05Z,DL
2024-08-06T06:05Z,OT,FLR,2024-08-06T07:40Z,2024-08-06T07:42Z,OT
2024-08-06T06:05Z,DL,SOF,2024-08-06T08:20Z,2024-08-06T08:35Z,DL
2024-08-06T06:15Z,OT,LCY,2024-08-06T07:40Z,2024-08-06T07:48Z,OT
2024-08-06T06:15Z,OT,PSA,2024-08-06T07:45Z,2024-08-06T07:58Z,OT
2024-08-06T06:15Z,OT,MUC,2024-08-06T07:10Z,2024-08-06T07:05Z,FE
2024-08-06T06:20Z,FE,VIE,2024-08-06T07:45Z,2024-08-06T07:30Z,FE
2024-08-06T06:25Z,FE,MRS,2024-08-06T08:00Z,2024-08-06T07:57Z,FE
2024-08-06T06:35Z,OT,GRZ,2024-08-06T07:55Z,2024-08-06T07:52Z,FE
2024-08-06T06:35Z,DL,CDG,2024-08-06T07:50Z,2024-08-06T09:26Z,DL
2024-08-06T06:35Z,OT,PRG,2024-08-06T07:35Z,2024-08-06T07:33Z,FE
2024-08-06T06:35Z,DL,JFK,2024-08-06T15:10Z,2024-08-06T15:17Z,DL
2024-08-06T06:45Z,OT,LIN,2024-08-06T07:55Z,2024-08-06T07:54Z,FE
2024-08-06T06:45Z,OT,BER,2024-08-06T07:55Z,2024-08-06T07:42Z,FE
2024-08-06T06:45Z,OT,BLQ,2024-08-06T08:05Z,2024-08-06T08:12Z,OT
2024-08-06T06:45Z,OT,RNS,2024-08-06T08:15Z,2024-08-06T08:18Z,OT
2024-08-06T06:45Z,OT,LYS,2024-08-06T08:00Z,2024-08-06T08:07Z,OT
2024-08-06T06:50Z,DL,ZRH,2024-08-06T07:45Z,2024-08-06T08:14Z,DL
2024-08-06T06:55Z,OT,DRS,2024-08-06T07:55Z,2024-08-06T07:57Z,OT
2024-08-06T06:55Z,DL,VCE,2024-08-06T08:15Z,2024-08-06T08:24Z,DL
2024-08-06T06:55Z,OT,BLL,2024-08-06T08:15Z,2024-08-06T08:23Z,OT
2024-08-06T06:55Z,OT,BUD,2024-08-06T08:30Z,2024-08-06T08:20Z,FE
2024-08-06T06:55Z,OT,KRK,2024-08-06T08:30Z,2024-08-06T08:42Z,OT
2024-08-06T06:55Z,OT,GVA,2024-08-06T08:05Z,2024-08-06T08:02Z,FE
2024-08-06T07:00Z,OT,HAM,2024-08-06T08:05Z,2024-08-06T08:05Z,OT
2024-08-06T07:00Z,OT,LHR,2024-08-06T08:40Z,2024-08-06T08:45Z,OT
2024-08-06T07:00Z,DL,BRU,2024-08-06T08:10Z,2024-08-06T08:40Z,DL
2024-08-06T07:05Z,OT,WRO,2024-08-06T08:20Z,2024-08-06T08:29Z,OT
2024-08-06T07:05Z,OT,SZG,2024-08-06T08:05Z,2024-08-06T07:57Z,FE
2024-08-06T07:05Z,OT,MLA,2024-08-06T09:40Z,2024-08-06T09:41Z,OT
2024-08-06T07:05Z,OT,IST,2024-08-06T10:05Z,2024-08-06T10:07Z,OT
2024-08-06T07:05Z,OT,POZ,2024-08-06T08:20Z,2024-08-06T08:30Z,OT
2024-08-06T07:10Z,OT,HAJ,2024-08-06T08:00Z,2024-08-06T08:07Z,OT
2024-08-06T07:10Z,OT,SVQ,2024-08-06T10:05Z,2024-08-06T10:09Z,OT
2024-08-06T07:10Z,OT,ESB,2024-08-06T10:30Z,2024-08-06T10:14Z,FE
2024-08-06T07:15Z,OT,MUC,2024-08-06T08:10Z,2024-08-06T08:12Z,OT
2024-08-06T07:15Z,DL,MXP,2024-08-06T08:30Z,2024-08-06T08:49Z,DL
2024-08-06T07:15Z,OT,HEL,2024-08-06T09:40Z,2024-08-06T09:42Z,OT
2024-08-06T07:15Z,OT,AGP,2024-08-06T10:15Z,2024-08-06T10:11Z,FE
2024-08-06T07:15Z,OT,LIS,2024-08-06T10:25Z,2024-08-06T10:35Z,OT
2024-08-06T07:20Z,DL,VIE,2024-08-06T08:45Z,2024-08-06T08:58Z,DL
2024-08-06T07:25Z,OT,FMO,2024-08-06T08:10Z,2024-08-06T08:10Z,OT
2024-08-06T07:25Z,OT,STR,2024-08-06T08:05Z,2024-08-06T08:06Z,OT
2024-08-06T07:25Z,OT,AMS,2024-08-06T08:35Z,2024-08-06T08:47Z,OT
2024-08-06T07:25Z,DL,ATH,2024-08-06T10:15Z,2024-08-06T10:19Z,DL
2024-08-06T07:25Z,OT,LJU,2024-08-06T08:35Z,2024-08-06T08:45Z,OT
2024-08-06T07:30Z,OT,GOT,2024-08-06T09:05Z,2024-08-06T09:07Z,OT
2024-08-06T07:30Z,OT,CDG,2024-08-06T08:45Z,2024-08-06T08:36Z,FE
2024-08-06T07:30Z,DL,OTP,2024-08-06T09:50Z,2024-08-06T09:57Z,DL
2024-08-06T07:35Z,OT,VLC,2024-08-06T10:00Z,2024-08-06T10:03Z,OT
2024-08-06T07:35Z,DL,OPO,2024-08-06T10:25Z,2024-08-06T10:45Z,DL
2024-08-06T07:40Z,FE,LUX,2024-08-06T08:25Z,2024-08-06T08:21Z,FE
2024-08-06T07:40Z,OT,BRU,2024-08-06T08:40Z,2024-08-06T08:32Z,FE
2024-08-06T07:40Z,DL,MAD,2024-08-06T10:15Z,2024-08-06T10:31Z,DL
2024-08-06T07:45Z,OT,BER,2024-08-06T08:55Z,2024-08-06T08:57Z,OT
