Departure_ScheduledTimeUTC_DateTime,Departure_TimeStatus_Code,Arrival_AirportCode,Arrival_ScheduledTimeUTC_DateTime,Arrival_ActualTimeUTC_DateTime,Arrival_TimeStatus_Code,Delay_minutes
2024-08-06T02:45Z,DL,AYT,2024-08-06T06,2024-08-06T08,DL,132.0
2024-08-06T02:45Z,DL,AYT,2024-08-06T06,2024-08-06T06,DL,39.0
2024-08-06T02:45Z,DL,PMI,2024-08-06T04,2024-08-06T05,DL,25.0
2024-08-06T02:50Z,DL,CFU,2024-08-06T05,2024-08-06T07,DL,164.0
2024-08-06T02:50Z,DL,SUF,2024-08-06T05,2024-08-06T06,DL,69.0
2024-08-06T03:00Z,DL,BOJ,2024-08-06T05,2024-08-06T09,DL,208.0
2024-08-06T03:00Z,DL,VAR,2024-08-06T05,2024-08-06T07,DL,103.0
2024-08-06T03:00Z,DL,XRY,2024-08-06T06,2024-08-06T06,DL,56.0
2024-08-06T03:00Z,DL,PMI,2024-08-06T05,2024-08-06T05,DL,38.0
2024-08-06T03:30Z,OT,RHO,2024-08-06T06,2024-08-06T06,OT,10.0
2024-08-06T03:55Z,DL,HER,2024-08-06T06,2024-08-06T07,DL,42.0
2024-08-06T04:15Z,FE,BER,2024-08-06T05,2024-08-06T05,FE,-22.0
2024-08-06T04:15Z,DL,ADA,2024-08-06T07,2024-08-06T08,DL,25.0
2024-08-06T04:40Z,OT,FAO,2024-08-06T07,2024-08-06T08,OT,5.0
2024-08-06T04:40Z,OT,ZRH,2024-08-06T05,2024-08-06T05,FE,-2.0
2024-08-06T04:40Z,FE,VIE,2024-08-06T06,2024-08-06T05,FE,-10.0
2024-08-06T04:45Z,FE,BER,2024-08-06T05,2024-08-06T05,FE,-17.0
2024-08-06T04:45Z,OT,CTA,2024-08-06T07,2024-08-06T07,OT,3.0
2024-08-06T04:45Z,OT,BRE,2024-08-06T05,2024-08-06T05,OT,2.0
2024-08-06T04:50Z,OT,LCY,2024-08-06T06,2024-08-06T06,OT,3.0
2024-08-06T04:55Z,DL,PMI,2024-08-06T07,2024-08-06T07,DL,40.0
2024-08-06T04:55Z,OT,BRU,2024-08-06T05,2024-08-06T05,FE,-4.0
2024-08-06T05:00Z,OT,STR,2024-08-06T05,2024-08-06T05,OT,8.0
2024-08-06T05:00Z,OT,ARN,2024-08-06T07,2024-08-06T06,FE,-6.0
2024-08-06T05:00Z,DL,OSL,2024-08-06T07,2024-08-06T07,DL,10.0
